date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:06	1888/1888	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b7fa61a415f79774c5cc700d0b0e093%22	https://arbitrum.foundation/_next/static/0g30GtLm-T_bTu6M_VM4K/_buildManifest.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/0g30GtLm-T_bTu6M_VM4K/_buildManifest.js	(from https://arbitrum.foundation/)
08:57:07	76/76	---M--	200	added ('OK')	application/javascript	etag:%225352cb582146311d1540f6075d1f265e%22	https://arbitrum.foundation/_next/static/0g30GtLm-T_bTu6M_VM4K/_ssgManifest.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/0g30GtLm-T_bTu6M_VM4K/_ssgManifest.js	(from https://arbitrum.foundation/)
08:57:07	22112/22112	---MCZ	200	added ('OK')	text/html	etag:W/%2222482d1d098196df2f42b1d8e581b6d6%22	https://arbitrum.foundation/orbit	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/orbit	(from https://arbitrum.foundation/)
08:57:11	37690/37690	---MCZ	200	added ('OK')	text/html	etag:W/%22ab250957f3d45f969b0ae717caa8c1b9%22	https://arbitrum.foundation/tos	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/tos	(from https://arbitrum.foundation/)
08:57:12	37637/37637	---MCZ	200	added ('OK')	text/html	etag:W/%225d1d4789730e4e1c1ece2e82cc38a2b2%22	https://arbitrum.foundation/privacy	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/privacy	(from https://arbitrum.foundation/)
08:57:12	142723/142723	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2013:05:27%20GMT	https://arbitrum.foundation/_next/image?url=%2Fillustration_12.webp&w=640&q=75	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/illustration_12508f.png	(from https://arbitrum.foundation/)
08:57:14	2444/2444	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2005:27:13%20GMT	https://arbitrum.foundation/embed/newsletter	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/embed/newsletter.html	(from https://arbitrum.foundation/)
08:57:14	14595/14595	---MCZ	200	added ('OK')	application/javascript	etag:W/%22469898ece1fc0dfff3fd17e237696456%22	https://arbitrum.foundation/_next/static/chunks/pages/orbit-6170a822c4bbdf65.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/pages/orbit-6170a822c4bbdf65.js	(from https://arbitrum.foundation/orbit)
08:57:14	1110/1110	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22618641ca083c1548a9e3ebe30786b94e%22	https://arbitrum.foundation/planet_6.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/planet_6.svg	(from https://arbitrum.foundation/orbit)
08:57:14	553787/553787	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2013:03:11%20GMT	https://arbitrum.foundation/_next/image?url=%2Fillustration_1.webp&w=3840&q=75	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/illustration_19046.png	(from https://arbitrum.foundation/)
